vendor_account_nb,Max_final_score_date,Min_data_clctn_start_date,NM1_discount_pc,NM1_score_qt,NM1_channel_cd,NM1_rate_state_abbr_nm
52241084,2020-12-31,2020-10-08,29,130,EA,WI
68541082,2020-12-31,2020-10-08,29,129,EA,WI
32009721,2020-12-31,2020-09-06,12,171,IA,WI
77748622,2021-01-07,2020-09-08,35,73,EA,WI
81341268,2021-01-05,2020-09-09,5,182,EA,WI
43924296,2021-01-15,2020-09-09,0,997,IA,WI
18221424,2021-01-05,2020-09-11,31,118,EA,WI
82737835,2021-02-16,2020-09-14,32,95,EA,WI
96061672,2021-01-29,2020-09-15,35,81,IA,WI
21159653,2021-02-24,2020-09-16,31,124,IA,WI
82350493,2021-01-13,2020-09-23,29,127,EA,WI
41429165,2021-01-14,2020-09-23,32,105,EA,WI
35140726,2021-01-20,2020-09-24,0,998,EA,WI
42477826,2021-01-14,2020-09-24,25,147,EA,WI
39516778,2021-01-21,2020-09-28,0,998,EA,WI
61200785,2021-02-25,2020-10-07,40,28,IA,WI
19415773,2021-02-25,2020-10-07,31,122,IA,WI
98326354,2021-02-05,2020-10-08,32,106,EA,WI
28854515,2021-02-02,2020-10-12,31,121,EA,WI
93846918,2021-02-02,2020-10-12,29,125,EA,WI
56000454,2021-02-02,2020-10-12,32,95,EA,WI
45447465,2021-01-28,2020-10-13,40,39,EA,WI
87998489,2021-03-03,2020-10-14,25,153,EA,WI
54761030,2021-02-24,2020-10-26,21,158,IA,WI
97428608,2021-02-24,2020-10-26,31,114,IA,WI
21352381,2021-02-17,2020-10-27,31,113,EA,WI
16666019,2021-02-23,2020-10-30,0,998,IA,WI
87854464,2021-02-24,2020-11-02,25,152,EA,WI
49883368,2020-12-09,2020-08-06,0,998,EA,WI
52205529,2020-12-01,2020-06-23,29,126,EA,WY
50258983,2020-12-09,2020-06-30,31,115,IA,WY
44843449,2020-11-20,2020-07-08,25,149,EA,WY
81646076,2020-11-24,2020-07-10,32,110,EA,WY
82142417,2020-12-01,2020-08-05,28,141,EA,WY
93482895,2020-12-01,2020-07-17,29,130,EA,WY
21199166,2020-12-16,2020-07-30,40,17,IA,WY
94798944,2020-12-16,2020-07-30,40,24,IA,WY
33673774,2020-12-18,2020-08-05,0,998,EA,WY
97123036,2020-12-18,2020-08-05,21,156,EA,WY
26854440,2021-01-12,2020-08-11,25,149,IA,WY
32277254,2020-12-29,2020-08-14,40,46,EA,WY
50274109,2021-02-12,2020-09-21,28,135,EA,WY
99112017,2021-02-15,2020-10-03,31,113,EA,WY
99835266,2021-02-25,2020-10-06,32,109,IA,WY
24643993,2021-02-25,2020-10-06,35,72,IA,WY
98923333,2021-02-23,2020-10-12,28,139,EA,WY
58717430,2020-12-11,2020-08-05,12,171,EA,AL
30690888,2021-01-12,2020-09-11,32,104,EA,AL
66652667,2021-01-12,2020-09-11,25,150,EA,AL
78981658,2021-01-13,2020-07-09,40,43,EA,AL
62536874,2021-02-05,2020-10-06,21,162,EA,AL
59721632,2021-02-16,2020-10-09,31,113,EA,AL
20416452,2021-02-16,2020-07-27,21,155,EA,AL
26441509,2021-02-02,2020-11-04,32,111,EA,AL
57770573,2020-10-06,2020-06-17,40,23,EA,AL
85154598,2020-09-11,2020-09-09,0,0,EA,AL
12608610,2020-09-11,2020-09-09,0,0,EA,AL
39433856,2020-11-24,2020-07-01,21,156,EA,AL
16405768,2020-12-21,2020-09-03,28,137,EA,AL
28103874,2020-12-29,2020-09-16,0,998,EA,AL
40597606,2021-03-02,2020-08-18,5,186,EA,AL
14832301,2021-02-11,2020-10-06,29,128,EA,AL
79819884,2021-01-04,2020-09-03,0,998,EA,AL
52942410,2020-10-06,2020-06-08,31,116,IA,AL
68560443,2020-10-07,2020-06-08,31,112,IA,AL
64788633,2020-10-29,2020-09-22,0,0,EA,AL
24902772,2021-01-22,2020-08-09,32,98,IA,AL
74707694,2021-01-22,2020-08-09,25,150,IA,AL
28718239,2021-02-09,2020-09-11,40,46,EA,AL
20607107,2021-02-23,2020-10-26,12,180,EA,AL
99040132,2020-11-18,2020-11-17,0,0,EA,AL
87043378,2020-11-12,2020-07-02,29,126,EA,AL
57869969,2020-09-28,2020-06-19,15,0,IA,AL
40044858,2020-10-27,2020-10-26,0,0,EA,AL
11029700,2020-10-20,2020-06-08,32,110,EA,AL
59169745,2020-10-29,2020-06-09,12,173,IA,AL
98554589,2020-10-21,2020-06-09,28,141,IA,AL
48304977,2020-10-21,2020-06-09,12,180,IA,AL
86429628,2020-10-21,2020-06-19,21,166,EA,AL
51927861,2020-10-23,2020-06-11,31,123,EA,AL
49406705,2020-10-23,2020-06-11,40,14,EA,AL
71735592,2020-10-27,2020-06-11,29,131,EA,AL
75889209,2020-11-17,2020-06-12,35,90,EA,AL
64778685,2020-11-17,2020-06-12,0,998,EA,AL
13487052,2020-10-26,2020-06-12,29,125,EA,AL
44184931,2020-10-26,2020-06-12,31,124,EA,AL
48647340,2020-10-26,2020-06-12,28,141,EA,AL
38093197,2020-10-26,2020-06-12,12,176,EA,AL
77307640,2020-10-30,2020-06-12,28,142,EA,AL
90992515,2020-10-27,2020-06-15,21,161,IA,AL
39532972,2020-10-27,2020-06-15,40,61,IA,AL
49661486,2020-10-30,2020-06-16,12,175,EA,AL
55462191,2020-10-29,2020-06-17,21,162,EA,AL
59654367,2020-10-29,2020-06-17,29,126,EA,AL
24545945,2020-10-30,2020-06-17,25,153,EA,AL
50335716,2020-10-29,2020-06-17,25,146,EA,AL
99046173,2020-12-03,2020-06-18,28,137,EA,AL
87012442,2020-12-02,2020-06-19,40,31,EA,AL
66561952,2020-12-02,2020-06-19,35,64,EA,AL
76855529,2020-11-03,2020-06-22,40,62,EA,AL
19852787,2020-11-03,2020-06-22,32,97,EA,AL
53827610,2020-11-05,2020-06-23,12,167,EA,AL
22192723,2020-11-05,2020-06-23,0,998,EA,AL
91252071,2020-11-13,2020-06-24,25,150,EA,AL
